S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,40.49,890.0,895.0,878.2,879.1,879.1,0.0,0.0,883.19,1668.0,894.0,1473166.4,30,-14.9,16.8,-1.67,1.91,-0.47,944.38,951.27,1095.0,827.9
2,ADBL,44.7,306.0,309.8,305.0,308.7,308.7,0.0,0.0,306.31,90092.0,305.5,27596251.5,130,3.2,4.8,1.05,1.57,0.77,309.94,307.16,340.0,285.2
3,ADBLD83,36.96,1035.0,1035.0,1035.0,1035.0,1035.0,0.0,0.0,1035.0,300.0,1038.5,310500.0,3,-3.5,0.0,-0.34,0.0,0.0,1071.7,1082.44,1132.9,1015.0
4,AHL,40.06,380.0,385.0,377.2,378.1,378.1,0.0,0.0,379.26,1829.0,377.8,693668.1,35,0.3,7.8,0.08,2.07,-0.31,460.88,490.52,699.0,343.0
5,AHPC,43.23,267.0,272.9,264.7,268.0,268.0,0.0,0.0,268.6,126354.0,266.8,33938111.2,293,1.2,8.2,0.45,3.1,-0.22,273.39,275.31,323.3,245.8
6,AKJCL,42.49,333.0,356.9,333.0,352.9,352.9,0.0,0.0,351.89,331657.0,346.5,116705997.3,581,6.4,23.9,1.85,7.18,0.29,372.5,345.47,461.4,172.9
7,AKPL,42.79,257.9,260.0,252.7,254.0,254.0,0.0,0.0,255.82,103576.0,256.0,26497080.9,238,-2.0,7.3,-0.78,2.89,-0.72,263.33,263.69,317.0,227.5
8,ALBSL,40.87,1180.0,1215.0,1180.0,1215.0,1215.0,0.0,0.0,1198.22,23605.0,1201.0,28284029.2,143,14.0,35.0,1.17,2.97,1.38,1117.52,1130.2,1334.0,930.0
9,ALICL,41.56,421.0,422.9,417.0,417.0,417.0,0.0,0.0,419.46,17510.0,416.0,7344785.2,93,1.0,5.9,0.24,1.41,-0.59,439.96,449.67,505.0,381.4
10,ANLB,34.28,4900.0,5044.0,4900.0,5035.0,5035.0,0.0,0.0,5007.54,175.0,5010.0,876319.9,13,25.0,144.0,0.5,2.94,0.55,5905.62,6004.2,7560.0,4750.0
11,APHL,34.78,698.0,708.0,690.0,692.0,692.0,0.0,0.0,695.98,6525.0,693.0,4541268.7,140,-1.0,18.0,-0.14,2.61,-0.58,0.0,0.0,1053.4,299.7
12,API,42.06,345.0,345.0,334.8,335.6,335.6,0.0,0.0,337.47,350329.0,339.1,118226234.0,830,-3.5,10.2,-1.03,3.05,-0.56,339.99,328.0,370.0,258.8
13,AVYAN,37.52,1070.0,1070.0,1040.0,1055.0,1055.0,0.0,0.0,1049.47,1217.0,1040.0,1277201.0,27,15.0,30.0,1.44,2.88,0.52,1084.34,1051.5,1366.0,906.0
14,BANDIPUR,42.41,651.1,661.5,650.0,658.0,658.0,0.0,0.0,656.27,28092.0,643.5,18435832.2,316,14.5,11.5,2.25,1.77,0.26,773.74,823.57,1233.0,285.0
15,BARUN,41.73,329.0,334.8,325.2,327.0,327.0,0.0,0.0,330.02,44988.0,328.0,14846980.0,151,-1.0,9.6,-0.3,2.95,-0.92,334.74,339.02,401.5,292.1
16,BBC,40.9,4220.0,4300.0,4100.0,4105.0,4105.0,0.0,0.0,4139.91,372.0,4100.0,1540044.8,29,5.0,200.0,0.12,4.88,-0.85,4462.25,4585.86,5600.0,3825.0
17,BEDC,40.33,305.0,309.0,299.8,302.0,302.0,0.0,0.0,301.29,15780.0,304.0,4754413.4,98,-2.0,9.2,-0.66,3.07,0.23,358.0,416.09,728.0,270.0
18,BFC,39.6,468.0,476.8,461.1,464.1,464.1,0.0,0.0,467.16,15582.0,467.0,7279283.2,95,-2.9,15.7,-0.62,3.4,-0.66,483.45,481.01,562.0,411.5
19,BGWT,36.15,490.0,504.7,490.0,492.0,492.0,0.0,0.0,495.7,8712.0,490.0,4318532.6,67,2.0,14.7,0.41,3.0,-0.75,621.05,671.39,944.0,435.0
20,BHCL,41.8,535.0,555.0,535.0,547.2,547.2,0.0,0.0,545.11,86304.0,534.0,47045330.7,537,13.2,20.0,2.47,3.74,0.38,536.09,546.01,699.0,394.0
21,BHDC,39.29,430.6,436.0,426.3,429.0,429.0,0.0,0.0,430.14,7282.0,429.0,3132307.7,56,0.0,9.7,0.0,2.28,-0.27,448.48,460.12,616.0,401.1
22,BHL,41.07,218.0,221.0,216.1,217.1,217.1,0.0,0.0,218.65,129215.0,216.1,28252830.1,416,1.0,4.9,0.46,2.27,-0.71,215.6,210.37,264.4,164.0
23,BHPL,39.23,436.1,466.0,436.1,460.9,460.9,0.0,0.0,459.87,3996.0,459.0,1837644.7,48,1.9,29.9,0.41,6.86,0.22,508.81,527.79,789.0,417.2
24,BJHL,33.41,651.0,666.4,646.4,649.4,649.4,0.0,0.0,654.79,5383.0,647.8,3524730.2,76,1.6,20.0,0.25,3.09,-0.83,826.11,0.0,1305.0,270.1
25,BNHC,39.6,276.9,283.0,276.9,279.8,279.8,0.0,0.0,279.69,10847.0,276.9,3033837.5,71,2.9,6.1,1.05,2.2,0.04,311.18,355.6,613.8,247.5
26,BNL,37.32,14420.0,14420.0,14420.0,14420.0,14420.0,0.0,0.0,14420.0,10.0,14000.0,144200.0,1,420.0,0.0,3.0,0.0,0.0,15335.51,15774.52,16921.0,13515.0
27,BPCL,41.98,645.0,690.0,645.0,672.7,672.7,0.0,0.0,673.42,39217.0,676.9,26409656.9,142,-4.2,45.0,-0.62,6.98,-0.11,671.4,694.99,819.0,612.0
28,BUNGAL,31.65,526.0,535.0,521.6,528.5,528.5,0.0,0.0,527.67,6981.0,525.0,3683651.0,113,3.5,13.4,0.67,2.57,0.16,623.84,635.91,895.0,302.4
29,C30MF,16.95,9.96,10.0,9.86,9.86,9.86,0.0,0.0,9.94,300.0,9.96,2982.0,3,-0.1,0.14,-1.0,1.42,-0.81,10.03,9.87,10.45,8.7
30,CBBL,42.3,956.0,960.0,952.5,956.9,956.9,0.0,0.0,955.51,24040.0,950.0,22970387.2,166,6.9,7.5,0.73,0.79,0.15,923.23,932.79,1054.9,882.0
31,CFCL,25.63,549.9,575.0,549.9,570.0,570.0,0.0,0.0,565.77,33413.0,565.9,18903974.0,180,4.1,25.1,0.72,4.56,0.74,580.73,563.05,699.0,445.1
32,CGH,35.09,778.8,802.0,778.8,792.2,792.2,0.0,0.0,794.65,2371.0,791.0,1884107.5,45,1.2,23.2,0.15,2.98,-0.31,792.83,816.68,1005.0,748.0
33,CHCL,30.72,356.0,362.0,355.0,359.0,359.0,0.0,0.0,357.14,50423.0,354.9,18008059.7,269,4.1,7.0,1.16,1.97,0.52,471.87,475.42,525.0,344.0
34,CHDC,43.82,2365.0,2400.0,2331.0,2367.0,2367.0,0.0,0.0,2363.99,36529.0,2368.0,86354165.5,270,-1.0,69.0,-0.04,2.96,0.13,2255.32,2301.62,2717.0,1967.0
35,CHL,40.35,270.0,270.0,266.0,269.7,269.7,0.0,0.0,267.83,15764.0,267.4,4222005.6,66,2.3,4.0,0.86,1.5,0.69,277.66,278.51,332.5,223.4
36,CIT,39.62,1744.9,1745.0,1732.0,1735.0,1735.0,0.0,0.0,1736.92,4589.0,1730.0,7970707.0,93,5.0,13.0,0.29,0.75,-0.11,1737.53,1757.68,1973.0,1621.1
37,CITY,39.13,350.0,352.0,345.0,348.0,348.0,0.0,0.0,347.67,42120.0,345.4,14644028.0,252,2.6,7.0,0.75,2.03,0.09,400.93,429.04,649.0,327.2
38,CKHL,45.93,599.3,635.0,581.4,597.0,597.0,0.0,0.0,594.39,3682.0,599.3,2188538.0,39,-2.3,53.6,-0.38,9.22,0.44,636.33,655.59,804.0,525.0
